,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Incomplete Address
138,P-162,C,St. Mary Church Omro Wisconsin ,St Mary's Church 739 Madison Ave.,Omro,Faith,24.0,7824.599999999999,43984.0,Appleton Solar,2023-07-01 00:00:00,40.915591,-74.154512,TRUE
139,P-163,C,St. Robert Parish,2200 East Capitol Drive ,Shorewood,Faith,92.0,28917.0,188000.0,Arch,2023-03-01 00:00:00,44.294626232931726,-88.37323108433735,TRUE
140,P-167,C,Vernon Economic Development Association,1201 North Main St ,Viroqua,Housing,100.0,31638.6,174319.0,Ethos,2023-06-01 00:00:00,38.06643,-97.932283,TRUE
141,C-172,C,Woodland Dunes Nature Center and Preserve,3000 Hawthorne Ave.,Two Rivers,Conservation,16.4,5000.0,42000.0,Eland Electric,2023-04-01 00:00:00,32.815548,-96.819734,TRUE
142,P-173,C,Chequamegon Humane Association,"923 Rail Drive, Ashland, WI  54806",Ashland,Animal Shelter,15.12,3931.0,43750.0,Jolma Electric,2023-06-01 00:00:00,46.6013984,-90.8405288,FALSE
143,P-174,A,Cinnaire Solutions Corporation,"2811 S STH 47, Lac du Flambeau (13535 Heather’s Way)",Lac du Flambeau,Housing,100.0,26114.4,240000.0,,In progress,45.978364,-89.913351,TRUE
144,C-175,C,"Clyde Community Center, Inc","6281 State Rd. 130, Avoca, WI 53506",Avoca,Human Services,8.0,1200.0,38500.0,Solar Connection,2023-07-01 00:00:00,43.181933,-90.3245687,FALSE
145,C-176,A,Friends of Sauk Prairie Parks and Recreation ,"340 21st St, Prairie du Sac, WI ",Prairie du Sac,Recreation,23.3,3495.0,72354.0,Glow Solar,2023-06-01 00:00:00,43.295874,-89.747204,TRUE
146,C-177,A,Harry & Rose Samson Family JCC,"10813 N Port Washington Rd, Mequon, WI 53092",Mequon,Human Services,28.8,4320.0,95406.0,Arch Electric,In progress,43.21532839175258,-87.92437668041238,FALSE
147,P-178,C,Peace Lutheran of Pigeon Falls,"13083 E. Main St., Pigeon Falls, WI. 54760",Pigeon Falls,Faith,44.3,11512.800000000001,110700.0,Ethos Green Power,2023-06-01 00:00:00,44.42588351569788,-91.20623329857344,FALSE
148,P-179,A,People's United Methodist Church (PUMC),"103 N Alpine Parkway, Oregon, WI  53575",Oregon,Faith,77.8,20498.4,171000.0,Midwest Solar Power,2023-09-01 00:00:00,42.930070900000004,-89.40121200046667,FALSE
149,C-180,A,Racine Dominican Eco-Justice Center,7133 Michna Rd,Racine,Human Services,20.0,3000.0,79254.0,,In progress,42.81544784285714,-87.82549514285715,TRUE
150,P-181,C,Rotary Club of Greater Portage County,"1600 Briggs Street, Stevens Point WI 54481",Stevens Point,Human Services,7.5,1966.0,26000.0,Northwind Renewable Energy,2023-06-01 00:00:00,44.525273,-89.576548,FALSE
151,P-182,C,Shirley M. Wright Memorial Library,11455 Fremont St Trempealeau WI 54661,Trempealeau,Library,32.0,8424.0,82000.0,Ethos Green Power,2023-04-01 00:00:00,44.00448365306123,-91.4312847755102,FALSE
152,C-183,C,St Dunstan's Episcopal Church,6205 University Ave.,Madison,Faith,29.7,4455.0,73498.0,Full Spectrum Solar,2023-06-01 00:00:00,32.753256,-117.061769,TRUE
153,S-001,C ,Madison West HS (MMSD),Madison West 30 Ash St. Madison WI 53726,Madison ,School,125.8,18981.0,264180.0,Westphal Electric,2020-10-01 00:00:00,43.069047749999996,-89.425681125,FALSE
154,S-003,C ,Eau Claire Memorial,2225 Keith St. Eau Claire WI 54701,Eau Claire,School,126.0,18981.0,264600.0,Eagle Point Solar,2020-10-01 00:00:00,44.796169858265685,-91.47324448041644,FALSE
155,S-004,C ,Eau Claire North HS,"1801 Piedmont Rd, Eau Claire WI 54703",Eau Claire,School,126.0,18981.0,264600.0,Eagle Point Solar,2020-10-01 00:00:00,44.846557,-91.48362,FALSE
156,S-005,C ,Forest Edge Elementary School (Oregon School District),"Forest Edge El. School 123 E Grove St 
Oregon WI 53575 ",Oregon,School,646.0,18981.0,1356600.0,TBD/HGA,2020-08-01 00:00:00,42.92784743877551,-89.3835233877551,FALSE
157,S-006,C ,MERTON Community SD,"N68W28460 Sussex Rd 
Merton WI 53056",Merton,School,389.0,37962.0,816900.0,Sunvest,2020-12-19 00:00:00,43.142731,-88.310972,FALSE
158,S-007,C ,Marshfield HS,"1401 E Becker Rd 
Marshfield WI 54449 ",Marshfield,School,7.4,3796.2,15540.0,PV Systems/  Students,2020-10-01 00:00:00,44.66971577696016,-90.15459840928698,FALSE
159,S-009,C,Madison College - Fort Atkinson Campus,827 Banker Rd. Fort Atkinson WI 53538,Fort Atkinson,Technical College,149.5,18981.0,313950.0,Arch Electric,2020-09-01 00:00:00,42.94220194320351,-88.8549378013084,FALSE
160,S-010,C,Madison College - Reedsburg Campus,"300 Alexander Ave. Reedsburg, WI 53959",Reedsburg,Technical College,99.9,18981.0,209790.0,Arch Electric,2020-09-01 00:00:00,43.53111631578947,-90.025309,FALSE
161,S-011,C,MSTC (tech college),Stevens Point Campus 1001 Center Point Dr. Stevens Point WI 54481,Stevens Point,Technical College,50.0,18981.0,105000.0,Student Install,2020-08-01 00:00:00,44.5229223,-89.574111,FALSE
162,S-012,C,NWTC (tech college),"Green Bay Campus 2470 West Mason St. Green Bay, WI 54303",Green Bay,Technical College,19.8,3796.2,41580.0,TBD ,2020-12-01 00:00:00,44.52407955223881,-88.0929173880597,FALSE
163,S-013,C,1 Rice Lake Area School District,"Tainter Elementary, 2201 Carrie Ave, Rice Lake, WI 54868",Rice Lake,School,200.0,15747.199999999999,420000.0,Carlson Electric,2021-09-01 00:00:00,45.47768965,-91.72690564696035,FALSE
164,S-014,C,1 Rice Lake Area School District,"Rice Lake Middle School, 204 Cameron Rd, Rice Lake, WI 54868",Rice Lake,School,250.0,15747.199999999999,525000.0,Carlson Electric,2021-09-01 00:00:00,45.4985681,-91.7535033,FALSE
165,S-015,C,1 Rice Lake Area School District,"Rice Lake HS, 30 S Wisconsin Ave. Rice Lake, WI 54868",Rice Lake,School,300.0,15747.199999999999,630000.0,Carlson Electric,2021-09-01 00:00:00,45.50027455,-91.74788211926057,FALSE
166,S-016,C,2 Milwaukee Area Technical College Mequon,"5555 West Highland Rd. Mequon, WI 53092",Mequon,Technical College,338.0,18981.0,709800.0,Arch Electric,2021-07-01 00:00:00,43.247644,-87.979375,FALSE
167,S-017,C,2 Milwaukee Area Technical College Oak Creek,"6665 South Howell Ave. Oak Creek, WI 53154",Oak Creek,Technical College,342.0,18981.0,718200.0,Arch Electric,2021-07-01 00:00:00,42.9252604,-87.91436347407043,FALSE
168,S-018,C,3 Hamilton Elementary School,"1111 S. 7th Street, La Crosse, WI 54601",LaCrosse,School,97.68,18559.2,205128.0,"Solar Connections, LLC",2021-08-01 00:00:00,43.8122836,-91.2514355,FALSE
169,S-019,C,4 Sevastopol School District,"4550 Hwy 57, Sturgeon Bay, WI 54235",Sturgeon Bay,School,19.98,3796.2,42800.0,Eland Electric,2021-05-01 00:00:00,44.890504,-87.28984,FALSE
170,S-021,C,5 Madison College - Watertown Campus,1300 W. Main St. Watertown WI 53098,Watertown,Technical College,150.0,37962.0,315000.0,Arch Electric,2021-03-01 00:00:00,43.198758,-88.755135,FALSE
171,S-022,C,4 Sawyer Elementary School - Sturgeon Bay School District,"60 Willow Drive, Sturgeon Bay, WI 54235",Sturgeon Bay,Technical College,51.8,9842.0,108780.0,Eland Electric,2021-09-01 00:00:00,44.822365660453265,-87.38372996473232,FALSE
172,S-023,C,2 Chippewa Valley Technical College,"Energy Education Center CVTC, 4000 Campus Road, Eau Claire WI 54703",Eau Claire,Technical College,80.0,26573.399999999998,168000.0,Next Step Energy,2021-04-01 00:00:00,44.837919,-91.553513,FALSE
173,S-024,C,6 Cashton School District,"436 Front St, Cashton, WI 54619",Cashton,School,61.0,11669.8,128100.0,Olson Solar Energy,2021-08-01 00:00:00,43.739959408163266,-90.78430736734694,FALSE
174,S-025,C,6 Madison College - Truax Fitness Center,1701 Wright St. Madison WI 53704,Madison,Technical College,72.6,18981.0,152460.0,Arch Electric,2021-08-01 00:00:00,43.1185385,-89.3313846,FALSE
175,S-026,C,2 Lakeshore Technical College,"1290 North Avenue Cleveland, WI 53015",Cleveland,Technical College,20.72,3936.7999999999997,43512.0,Arch Electric,2021-09-01 00:00:00,43.92120160900212,-87.75332223777345,FALSE
176,S-027,C,7  Elkhorn School District,482 E. Geneva Street,Elkhorn,School,9.99,3796.2,20979.0,Adams Electric,2021-10-01 00:00:00,36.298495755102046,-94.11360393877551,TRUE
177,S-028,C,Owen-Withee High School,"832 W 3rd St, Owen, WI 54460",Owen,School,115.4,158515.0,158515.0,Next Step Energy ,2022-10-01 00:00:00,44.95131117789236,-90.57762566496676,FALSE
178,S-029,C,Reedsburg - Pineview El.,"1121 8th Street, Reedsburg, WI 53959",Reedsburg,School,33.8,15219.0,70980.0,All Sky Energies,2022-09-01 00:00:00,43.539791210925436,-89.99396976611402,FALSE
179,S-031,C,Northland Pines - St Germain Elementary ,"8234 W STH 70, St Germain, WI 54558",St. Germain,School,70.0,15819.75,147000.0,Carlson Electric,2022-07-01 00:00:00,45.914895,-89.494279,FALSE
180,S-035,C,West Salem SD - West Salem Middle School,"440 East Ave, West Salem, WI 54669",West Salem,School,128.16,28836.0,269136.0,"Solar Connections, Inc",2022-09-01 00:00:00,43.900676591836735,-91.07653610204082,FALSE
181,S-038,C,Baraboo HS,"1201 Draper St, Baraboo, WI 53913",Baraboo,School,150.0,25000.0,315000.0,Westphal Electric ,2022-08-01 00:00:00,43.477202,-89.754649,FALSE
182,S-039,C,Baraboo MS,"1531 Draper St, Baraboo, WI 53913",Baraboo,School,150.0,25000.0,315000.0,Westphal Electric ,2022-08-01 00:00:00,43.47992175510204,-89.75465061224489,FALSE
183,S-040,C,La Crosse SD - Northside El.,"1611 Kane St, La Crosse, WI 54603",La Crosse ,School,129.94,28836.0,272874.0,"Solar Connections, Inc",2022-09-01 00:00:00,43.84745675,-91.24184948114379,FALSE
184,S-043,C,SD of Menomonie - Middle School,"920 21st St SE, Menomonie, WI 54751",Menomonie,School,114.48,24910.0,240408.0,Olson Solar,2022-09-01 00:00:00,44.8750242,-91.900613,FALSE
185,S-046,C,Mount Horeb area School District Children's Community School,"211 Parkway Drive Mount Horeb, WI 53572",Mount Horeb,School,60.0,12636.0,14094.0,Glow Solar/E & S Electric,2023-06-27 00:00:00,43.00372429736185,-89.74285222257895,FALSE
186,,,,,,,,,,,,18.7778874,100.773732,TRUE
187,,,,,,,11691.209999999994,2473856.0999999996,26173404.990000002,,,18.7778874,100.773732,TRUE
